road_type,num_lanes,curvature,speed_limit,lighting,weather,road_signs_present,public_road,time_of_day,holiday,school_season,num_reported_accidents,accident_risk
highway,3,0.04,70,night,rainy,False,False,evening,True,True,1,0.57
urban,3,0.6,35,daylight,foggy,True,False,morning,False,True,2,0.28
highway,1,0.39,60,daylight,clear,False,False,evening,False,False,1,0.28
highway,3,0.89,25,night,clear,True,True,morning,False,True,2,0.45
rural,3,0.3,45,night,clear,True,False,morning,False,True,4,0.36
rural,3,0.43,45,dim,rainy,False,True,afternoon,False,False,1,0.21
rural,4,0.53,35,night,rainy,True,False,morning,True,False,1,0.44
rural,4,0.27,70,night,rainy,True,False,afternoon,False,False,2,0.6
urban,2,0.91,35,night,rainy,True,True,evening,True,False,1,0.57
rural,4,0.46,70,dim,foggy,False,False,morning,True,True,0,0.44
urban,3,0.42,35,night,rainy,True,False,morning,False,False,1,0.42
rural,4,0.85,45,dim,rainy,False,True,evening,False,False,2,0.36
urban,1,0.31,70,dim,rainy,True,True,evening,True,False,3,0.5
highway,2,0.82,45,daylight,foggy,True,True,afternoon,False,True,2,0.37
urban,2,0.12,60,daylight,foggy,False,True,evening,True,True,2,0.4
urban,4,0.18,60,dim,clear,True,False,morning,True,False,2,0.31
rural,3,0.95,25,dim,rainy,True,True,afternoon,False,True,0,0.36
urban,2,0.84,45,dim,clear,True,True,evening,True,True,3,0.27
highway,1,0.39,45,daylight,clear,False,False,morning,False,True,1,0.02
highway,1,0.64,25,dim,foggy,False,False,morning,False,False,2,0.31
rural,2,0.94,60,daylight,foggy,False,False,morning,True,True,0,0.57
highway,3,0.21,60,daylight,clear,True,True,evening,False,True,1,0.34
urban,3,0.06,70,dim,clear,False,True,afternoon,True,True,2,0.27
highway,4,0.54,70,dim,rainy,True,False,evening,False,False,3,0.48
rural,4,0.14,60,dim,foggy,True,False,afternoon,True,True,0,0.35
urban,2,0.19,35,daylight,foggy,True,True,evening,False,False,1,0.11
rural,4,0.89,45,night,clear,False,True,morning,False,True,1,0.48
urban,4,0.01,70,dim,foggy,False,True,evening,True,False,4,0.46
highway,4,0.82,35,night,clear,False,False,afternoon,False,True,5,0.45
rural,1,0.52,70,night,clear,True,False,evening,False,True,3,0.68
rural,4,0.56,25,night,foggy,False,False,afternoon,True,False,2,0.59
urban,2,0.67,45,night,rainy,False,True,evening,False,False,0,0.48
rural,3,0.43,70,night,foggy,True,True,afternoon,False,True,1,0.65
urban,4,0.12,60,daylight,clear,False,False,morning,True,True,1,0.2
urban,3,0.1,25,daylight,clear,False,False,morning,False,True,2,0.01
urban,4,0.75,25,daylight,rainy,False,True,afternoon,False,True,0,0.31
urban,2,0.22,60,night,clear,False,False,morning,False,False,3,0.55
highway,1,0.03,25,daylight,rainy,False,True,afternoon,False,True,0,0.08
urban,2,0.98,45,dim,foggy,False,True,afternoon,False,True,3,0.53
rural,1,0.98,70,night,rainy,True,True,morning,False,False,2,0.7
highway,4,0.38,25,dim,clear,True,True,evening,False,False,1,0.2
rural,4,0.03,45,night,clear,True,False,afternoon,True,True,1,0.2
highway,1,0.73,60,night,rainy,False,True,evening,False,False,2,0.74
urban,2,0.83,70,night,foggy,False,False,evening,True,False,2,0.71
highway,2,0.13,60,night,rainy,True,False,morning,True,True,2,0.56
highway,1,0.14,70,dim,clear,True,True,afternoon,False,False,1,0.31
rural,4,0.82,25,night,foggy,False,False,evening,True,False,1,0.64
rural,1,0.92,25,night,rainy,False,False,evening,True,False,0,0.63
urban,4,0.79,70,daylight,rainy,False,False,morning,True,False,1,0.56
highway,1,0.2,45,night,rainy,False,False,morning,False,True,3,0.48
highway,4,0.41,45,night,clear,False,False,evening,True,False,2,0.28
highway,1,0.6,45,night,clear,False,True,evening,True,False,4,0.39
urban,3,0.16,35,night,clear,True,False,morning,False,False,5,0.32
urban,4,0.21,45,night,foggy,True,True,morning,True,False,0,0.39
urban,2,0.28,25,night,foggy,False,False,morning,True,True,2,0.42
urban,1,0.51,35,dim,foggy,True,True,afternoon,True,True,2,0.11
urban,2,0.51,45,dim,clear,True,False,morning,True,False,2,0.08
rural,1,0.81,25,night,foggy,False,False,morning,True,False,1,0.53
highway,2,0.75,35,dim,foggy,True,False,morning,False,True,3,0.39
highway,2,0.91,25,daylight,rainy,False,True,afternoon,False,False,0,0.32
highway,1,0.83,70,daylight,clear,False,True,afternoon,False,True,1,0.49
highway,1,0.25,25,night,rainy,True,False,morning,False,True,0,0.36
highway,2,0.33,35,night,clear,True,True,morning,True,False,2,0.34
highway,2,0.5,45,dim,clear,True,True,afternoon,False,False,1,0.05
highway,2,0.01,35,daylight,foggy,False,False,afternoon,False,False,0,0.09
highway,4,0.9,45,night,rainy,False,True,evening,False,True,0,0.53
rural,4,0.04,45,daylight,rainy,False,False,afternoon,False,True,2,0.12
highway,3,0.32,60,dim,foggy,False,True,afternoon,True,False,4,0.36
rural,4,0.57,70,night,rainy,True,True,morning,False,False,0,0.77
urban,4,0.52,60,night,rainy,True,True,morning,False,True,1,0.63
highway,1,0.65,35,night,clear,True,True,morning,False,False,2,0.41
urban,3,0.53,60,daylight,rainy,False,False,afternoon,True,True,2,0.51
urban,3,0.23,45,dim,rainy,False,True,evening,False,False,2,0.24
urban,4,0.2,35,daylight,clear,True,True,morning,True,True,2,0.03
rural,1,0.91,60,daylight,foggy,False,False,evening,False,True,3,0.73
urban,1,0.26,25,night,clear,False,False,evening,False,False,1,0.33
urban,3,0.28,70,dim,foggy,True,False,afternoon,True,False,0,0.37
urban,1,0.41,25,dim,foggy,True,False,afternoon,True,False,0,0.23
highway,2,0.14,35,night,clear,False,True,morning,False,True,2,0.19
highway,4,0.51,60,dim,clear,False,True,afternoon,False,False,1,0.33
rural,2,0.67,45,night,foggy,True,True,evening,False,True,0,0.52
rural,3,0.79,60,night,clear,False,False,afternoon,True,True,3,0.81
highway,3,0.71,35,dim,clear,True,False,afternoon,True,True,0,0.2
rural,1,0.15,35,dim,rainy,True,True,evening,True,True,1,0.12
highway,1,0.46,35,dim,clear,True,False,afternoon,True,False,1,0.14
urban,3,0.04,35,dim,clear,False,False,afternoon,True,True,2,0.0
urban,3,0.02,60,daylight,rainy,True,True,morning,True,False,2,0.24
rural,2,0.44,25,night,foggy,True,True,evening,False,False,1,0.4
highway,2,0.25,45,night,foggy,True,False,afternoon,False,True,3,0.42
highway,1,0.68,45,night,clear,True,False,evening,False,True,1,0.31
rural,2,0.72,70,night,clear,False,True,afternoon,True,True,0,0.62
highway,1,0.9,35,daylight,foggy,True,True,morning,False,True,1,0.47
urban,1,0.76,35,dim,clear,True,False,afternoon,False,False,1,0.23
rural,4,0.05,35,dim,foggy,True,True,afternoon,True,True,3,0.09
rural,1,0.37,25,dim,foggy,False,True,evening,False,True,1,0.25
highway,2,0.27,35,night,rainy,False,False,afternoon,True,True,2,0.41
rural,3,0.39,70,daylight,rainy,True,False,evening,True,True,4,0.55
highway,3,0.16,70,daylight,clear,True,False,morning,False,True,2,0.19
highway,2,0.1,25,dim,clear,True,True,evening,False,False,2,0.06
highway,3,0.52,35,night,foggy,True,False,afternoon,False,True,1,0.49
highway,1,0.72,60,dim,clear,False,False,evening,False,True,2,0.43
highway,3,0.7,60,night,rainy,True,False,morning,True,False,1,0.72
rural,2,0.45,45,dim,foggy,False,False,afternoon,True,False,2,0.23
urban,3,0.52,25,dim,foggy,True,False,morning,True,True,2,0.34
urban,1,0.52,60,daylight,clear,False,True,morning,False,False,2,0.35
rural,1,0.69,45,night,foggy,False,False,afternoon,False,False,2,0.56
rural,2,0.05,70,daylight,foggy,False,False,afternoon,True,False,0,0.34
urban,2,0.71,45,daylight,foggy,False,True,evening,True,True,3,0.47
urban,2,0.58,35,dim,rainy,False,False,afternoon,False,True,0,0.35
urban,4,0.2,35,night,foggy,False,True,evening,False,False,0,0.39
urban,4,0.05,70,night,rainy,True,True,morning,False,True,2,0.53
urban,1,0.11,25,dim,foggy,False,False,evening,False,True,2,0.23
highway,4,0.52,35,dim,clear,False,False,afternoon,True,False,0,0.17
rural,4,0.76,35,dim,clear,True,True,evening,True,True,0,0.26
highway,3,0.33,45,night,foggy,False,False,afternoon,True,True,3,0.58
urban,4,0.38,45,dim,clear,True,False,morning,False,True,4,0.25
urban,3,0.93,45,dim,rainy,False,False,evening,True,True,1,0.28
urban,2,0.21,60,daylight,foggy,False,False,evening,True,True,0,0.24
highway,3,0.1,70,dim,rainy,False,False,evening,False,True,5,0.35
highway,3,0.34,25,dim,foggy,True,True,evening,False,True,1,0.15
urban,2,0.75,45,night,rainy,False,True,morning,False,True,0,0.52
highway,2,0.63,25,dim,clear,False,True,afternoon,False,False,0,0.21
highway,1,0.42,45,night,rainy,True,True,evening,False,True,0,0.37
urban,1,0.96,35,daylight,rainy,False,True,morning,True,False,4,0.51
highway,1,0.73,25,daylight,clear,False,True,afternoon,False,False,0,0.17
rural,1,0.06,60,night,clear,False,False,morning,True,True,1,0.46
rural,3,0.74,45,dim,foggy,True,False,evening,True,True,3,0.48
rural,3,0.02,70,night,foggy,False,True,evening,False,False,2,0.55
rural,1,0.65,35,dim,rainy,False,True,morning,False,False,1,0.28
urban,4,0.21,45,dim,foggy,False,False,evening,False,False,1,0.3
urban,1,0.7,25,dim,rainy,False,False,evening,True,True,2,0.25
urban,4,0.31,45,night,foggy,True,False,morning,True,False,1,0.36
rural,2,0.87,35,daylight,clear,False,True,afternoon,False,False,1,0.3
rural,3,0.34,70,night,clear,False,True,morning,True,True,1,0.5
highway,3,0.62,70,dim,clear,True,False,morning,False,True,1,0.46
highway,4,0.29,70,night,clear,False,True,evening,False,False,2,0.37
rural,1,0.92,35,daylight,rainy,True,True,afternoon,True,True,1,0.38
rural,3,0.78,45,night,clear,True,False,evening,False,True,2,0.37
rural,4,0.24,35,daylight,clear,True,False,morning,True,True,1,0.06
rural,2,0.95,35,daylight,clear,True,False,afternoon,False,False,4,0.38
highway,2,0.36,45,dim,clear,False,True,afternoon,False,True,3,0.2
rural,3,0.65,60,daylight,foggy,False,False,evening,True,False,3,0.55
highway,1,0.74,70,night,rainy,False,True,afternoon,False,True,2,0.73
rural,4,0.02,25,night,rainy,False,False,morning,False,True,0,0.37
rural,3,0.96,25,dim,foggy,True,False,afternoon,False,True,1,0.37
rural,2,0.34,45,night,foggy,False,False,morning,True,False,1,0.5
highway,1,0.19,25,dim,rainy,True,False,morning,False,True,2,0.2
highway,4,0.85,60,night,rainy,False,True,morning,True,False,2,0.74
urban,3,0.7,35,night,foggy,False,False,evening,False,False,1,0.49
rural,4,0.09,70,daylight,clear,True,False,evening,False,True,0,0.25
urban,1,0.12,25,daylight,rainy,False,False,evening,True,True,1,0.11
urban,1,0.72,25,daylight,foggy,False,True,afternoon,True,True,1,0.35
highway,2,0.07,45,night,clear,True,False,afternoon,True,True,2,0.2
highway,1,0.92,45,dim,clear,False,True,afternoon,False,False,4,0.34
urban,3,0.74,35,dim,foggy,False,False,evening,False,False,1,0.32
rural,4,0.34,70,dim,rainy,False,True,morning,False,False,4,0.58
highway,1,0.36,25,daylight,rainy,True,True,morning,False,False,0,0.15
rural,1,0.51,35,night,clear,False,True,evening,True,False,1,0.28
rural,3,0.36,70,daylight,foggy,True,True,morning,True,True,1,0.38
urban,4,0.78,35,night,clear,True,True,morning,False,True,4,0.47
urban,4,0.97,25,night,clear,False,True,evening,True,False,3,0.62
urban,2,0.58,45,night,clear,False,False,morning,True,True,1,0.37
urban,2,0.45,45,daylight,foggy,True,True,evening,False,False,0,0.25
highway,4,0.22,45,night,rainy,False,True,afternoon,True,True,3,0.48
highway,3,0.65,60,daylight,clear,False,False,morning,True,True,0,0.37
urban,3,0.69,35,daylight,rainy,True,True,evening,True,True,3,0.36
highway,2,0.69,25,night,rainy,False,True,afternoon,False,False,2,0.59
urban,1,0.03,35,night,foggy,False,False,morning,True,True,0,0.32
rural,3,0.9,45,night,rainy,True,False,afternoon,False,False,0,0.48
rural,1,0.34,35,daylight,rainy,True,False,morning,False,True,2,0.2
rural,3,0.74,70,night,clear,False,False,afternoon,False,False,0,0.57
urban,4,0.76,35,night,foggy,False,True,afternoon,True,True,0,0.55
rural,2,0.65,60,dim,foggy,True,True,morning,True,False,2,0.54
highway,1,0.39,60,dim,clear,False,True,evening,True,True,0,0.28
rural,1,0.61,45,dim,clear,True,False,afternoon,True,False,1,0.22
rural,4,0.04,25,night,rainy,False,False,evening,True,True,0,0.37
rural,3,0.76,70,daylight,rainy,False,False,afternoon,True,False,2,0.54
highway,1,0.1,25,dim,foggy,True,False,afternoon,True,False,1,0.09
urban,3,0.4,25,daylight,foggy,False,True,morning,True,True,2,0.3
highway,4,0.1,70,dim,rainy,True,False,afternoon,True,False,1,0.41
urban,2,0.84,60,dim,clear,False,False,afternoon,True,True,1,0.45
urban,1,0.55,45,daylight,foggy,False,True,evening,True,False,1,0.27
rural,3,0.69,35,dim,clear,True,False,evening,False,False,0,0.22
urban,1,0.68,60,daylight,rainy,True,False,evening,True,False,3,0.58
highway,3,0.84,45,night,foggy,True,True,morning,True,False,2,0.54
highway,3,0.13,60,night,foggy,True,False,evening,False,False,3,0.61
urban,3,0.66,70,daylight,rainy,False,False,morning,False,True,2,0.56
rural,4,0.58,25,daylight,rainy,True,True,morning,True,False,0,0.19
rural,2,0.03,70,night,clear,True,False,evening,True,True,3,0.48
highway,1,0.2,35,daylight,clear,True,False,afternoon,False,True,1,0.11
rural,2,0.27,70,night,rainy,True,True,afternoon,True,True,0,0.58
urban,3,0.07,25,night,rainy,False,True,evening,False,False,3,0.37
urban,3,0.35,60,daylight,rainy,True,False,afternoon,False,True,1,0.38
highway,2,0.03,45,dim,foggy,True,True,morning,False,True,1,0.18
urban,2,0.55,35,daylight,rainy,False,True,evening,False,False,4,0.42
highway,1,0.21,60,night,foggy,False,False,morning,True,False,0,0.55
urban,3,0.29,45,dim,rainy,True,False,evening,False,False,1,0.13
highway,2,0.91,25,dim,foggy,False,False,afternoon,False,False,1,0.42
rural,4,0.5,70,night,clear,False,False,afternoon,True,True,3,0.62
urban,3,0.27,60,dim,clear,True,True,morning,False,False,0,0.39
urban,3,0.6,45,dim,foggy,True,True,afternoon,False,True,2,0.24
highway,1,0.2,45,daylight,clear,True,False,afternoon,False,True,1,0.08
highway,4,0.07,70,night,clear,True,True,morning,False,False,0,0.49
urban,1,0.02,60,dim,foggy,True,False,morning,False,False,1,0.33
highway,4,0.95,60,night,rainy,False,False,morning,True,False,1,0.8
urban,1,0.72,25,daylight,rainy,True,True,evening,True,True,0,0.25
rural,4,0.8,60,daylight,foggy,False,False,morning,False,False,1,0.56
highway,4,0.98,70,daylight,clear,False,False,evening,True,False,1,0.51
urban,4,0.93,60,dim,rainy,False,True,evening,True,False,3,0.68
rural,2,0.74,25,daylight,rainy,True,False,evening,False,False,0,0.29
rural,3,0.69,45,night,clear,False,False,morning,False,True,2,0.4
urban,4,0.34,60,daylight,foggy,True,True,evening,False,True,0,0.44
highway,2,0.1,70,dim,foggy,True,False,afternoon,False,False,2,0.32
urban,2,0.57,60,daylight,rainy,True,False,morning,False,False,2,0.5
rural,1,0.58,35,dim,foggy,False,False,morning,False,False,2,0.29
urban,3,0.95,25,night,clear,False,False,evening,True,False,0,0.46
highway,3,0.44,45,daylight,foggy,False,False,morning,True,True,0,0.24
rural,1,0.69,35,daylight,foggy,True,False,evening,True,False,3,0.38
urban,3,0.57,70,night,foggy,False,True,morning,False,False,2,0.63
highway,1,0.18,60,night,foggy,False,False,evening,False,False,4,0.69
rural,2,0.59,25,dim,clear,True,False,morning,False,True,0,0.19
highway,2,0.54,60,daylight,foggy,True,False,morning,False,True,2,0.46
rural,4,0.49,60,daylight,rainy,True,True,evening,False,False,3,0.58
urban,1,0.51,60,daylight,foggy,False,True,afternoon,True,False,3,0.52
highway,2,0.16,60,daylight,rainy,True,False,morning,True,True,3,0.41
rural,2,0.46,25,night,clear,False,False,afternoon,False,False,0,0.27
highway,1,0.61,35,daylight,foggy,True,False,afternoon,True,False,0,0.23
highway,2,0.49,70,daylight,rainy,False,True,morning,True,False,1,0.44
urban,3,0.49,35,daylight,foggy,False,True,morning,True,False,0,0.34
highway,2,0.08,25,dim,foggy,False,True,evening,True,True,0,0.06
rural,1,0.19,70,dim,rainy,False,True,evening,True,True,1,0.26
rural,3,0.32,45,dim,clear,True,False,afternoon,True,True,1,0.08
rural,3,0.42,35,night,clear,False,False,evening,False,False,1,0.33
rural,2,0.59,25,night,clear,False,False,evening,True,True,0,0.33
urban,4,0.86,25,night,clear,True,True,evening,False,True,1,0.51
highway,3,0.16,25,daylight,clear,True,True,evening,True,True,0,0.01
urban,1,0.02,70,daylight,clear,True,True,morning,False,True,3,0.29
highway,4,0.45,60,night,foggy,False,False,evening,False,True,2,0.64
highway,4,0.43,45,dim,foggy,False,True,afternoon,False,True,0,0.3
highway,3,0.55,70,daylight,rainy,True,False,morning,True,True,3,0.61
urban,2,0.83,70,dim,clear,True,True,morning,True,False,1,0.47
highway,4,0.8,35,daylight,clear,True,True,afternoon,False,False,0,0.25
urban,2,0.1,45,daylight,clear,False,False,morning,False,True,2,0.06
rural,3,0.93,25,dim,rainy,False,True,morning,True,False,2,0.48
rural,1,0.11,70,night,foggy,True,False,afternoon,False,True,1,0.45
highway,4,0.63,45,dim,foggy,False,True,evening,True,False,2,0.24
urban,1,0.67,35,night,clear,False,True,morning,False,True,1,0.35
rural,2,0.68,60,night,foggy,True,False,evening,True,True,3,0.89
urban,2,0.27,45,daylight,foggy,False,True,afternoon,True,True,1,0.1
urban,1,0.33,25,daylight,foggy,False,True,morning,True,False,3,0.23
highway,3,0.55,70,daylight,clear,True,False,evening,False,False,1,0.36
rural,3,0.2,60,night,foggy,True,True,afternoon,True,True,0,0.63
highway,4,0.02,35,night,foggy,True,False,morning,False,False,0,0.36
highway,4,0.56,25,dim,rainy,True,False,morning,False,True,3,0.35
rural,3,0.47,60,daylight,clear,True,False,evening,True,False,0,0.31
rural,3,0.66,35,daylight,foggy,False,True,morning,False,True,3,0.41
urban,1,0.15,25,night,clear,False,False,evening,False,True,1,0.18
rural,2,0.84,70,daylight,foggy,False,True,evening,False,False,4,0.76
urban,2,0.15,35,night,clear,True,False,morning,False,True,4,0.36
urban,4,0.89,60,dim,foggy,True,False,afternoon,False,True,4,0.77
urban,3,0.45,25,dim,foggy,False,True,morning,False,True,2,0.22
rural,1,0.55,45,daylight,rainy,False,False,afternoon,True,True,2,0.25
highway,4,0.9,25,dim,clear,True,False,evening,False,False,5,0.39
urban,1,0.3,60,daylight,foggy,True,False,evening,False,True,1,0.38
highway,3,0.18,60,daylight,rainy,False,True,morning,True,False,0,0.34
highway,3,0.45,45,night,rainy,False,False,morning,True,False,2,0.36
rural,3,0.24,60,night,clear,False,True,morning,False,True,3,0.57
highway,2,0.53,25,daylight,clear,True,True,evening,False,True,2,0.08
highway,3,0.28,35,dim,rainy,False,True,morning,True,True,1,0.14
rural,4,0.86,25,dim,clear,False,True,afternoon,True,False,1,0.24
urban,2,0.61,60,daylight,clear,True,True,afternoon,True,True,2,0.34
highway,1,0.0,45,daylight,clear,False,False,evening,False,False,1,0.0
rural,4,0.81,45,dim,foggy,True,False,evening,True,True,3,0.43
highway,4,0.33,70,dim,clear,False,False,morning,False,True,1,0.43
highway,1,0.32,45,night,clear,True,True,morning,True,False,1,0.34
urban,2,0.38,45,night,rainy,True,False,afternoon,False,True,1,0.42
highway,4,0.63,60,dim,rainy,True,False,afternoon,True,True,2,0.43
rural,4,0.44,35,night,rainy,True,False,evening,True,True,1,0.39
highway,4,0.63,35,night,clear,True,True,morning,False,False,2,0.31
urban,2,0.15,60,daylight,clear,False,False,morning,True,False,0,0.27
urban,2,0.97,45,night,rainy,True,False,morning,False,True,0,0.56
rural,2,0.73,25,night,rainy,False,True,morning,True,False,3,0.64
urban,4,0.25,35,daylight,foggy,True,False,afternoon,False,False,0,0.21
highway,3,0.72,60,dim,foggy,False,False,morning,False,True,0,0.49
urban,1,0.58,25,night,foggy,False,True,afternoon,False,False,1,0.45
rural,3,0.11,45,night,clear,False,True,evening,False,True,0,0.23
urban,2,0.18,60,dim,clear,True,True,morning,False,False,1,0.21
urban,4,0.04,35,night,rainy,False,True,afternoon,True,True,1,0.26
urban,4,0.81,25,dim,foggy,False,False,afternoon,False,False,2,0.26
rural,3,0.55,25,daylight,clear,True,True,afternoon,False,False,3,0.19
urban,3,0.32,35,dim,foggy,False,False,morning,True,True,1,0.2
urban,1,0.13,25,dim,foggy,False,True,afternoon,True,True,0,0.16
highway,4,0.48,35,dim,clear,True,True,afternoon,False,False,3,0.24
rural,3,0.53,60,daylight,foggy,True,True,evening,True,True,1,0.42
urban,1,0.7,70,dim,rainy,True,False,morning,False,True,2,0.55
rural,2,0.97,45,dim,rainy,True,False,afternoon,True,True,1,0.49
urban,3,0.43,60,daylight,clear,False,False,afternoon,True,True,4,0.43
urban,2,0.41,45,night,foggy,False,False,morning,False,True,3,0.51
urban,1,0.37,45,night,rainy,True,True,morning,False,False,1,0.43
highway,2,0.83,35,dim,foggy,False,True,afternoon,True,False,3,0.35
highway,4,0.16,70,daylight,rainy,False,True,morning,False,False,2,0.38
highway,4,0.34,45,daylight,rainy,True,False,morning,True,True,1,0.15
rural,2,0.72,45,dim,foggy,False,False,morning,False,False,0,0.37
rural,4,0.02,60,dim,clear,False,True,morning,True,True,1,0.14
highway,1,0.29,70,night,clear,True,True,morning,False,False,0,0.46
rural,4,0.64,70,night,clear,False,False,afternoon,False,True,1,0.52
urban,2,0.19,45,dim,foggy,True,False,afternoon,True,False,2,0.23
urban,2,0.3,70,daylight,foggy,False,True,evening,False,False,1,0.31
urban,2,0.49,60,dim,foggy,False,True,evening,True,False,2,0.43
highway,3,0.42,35,daylight,clear,True,True,morning,False,True,1,0.09
rural,2,0.11,45,night,foggy,False,False,morning,True,True,3,0.42
highway,1,0.94,25,dim,clear,True,False,afternoon,False,False,2,0.33
rural,4,0.04,45,daylight,rainy,True,True,evening,False,True,1,0.13
urban,4,0.75,45,night,clear,True,True,morning,True,False,0,0.41
highway,3,0.07,35,dim,clear,False,True,morning,True,False,1,0.0
rural,3,0.47,25,dim,clear,False,False,evening,False,False,2,0.23
rural,1,0.18,25,night,foggy,True,False,evening,True,False,2,0.36
urban,2,0.14,25,dim,clear,True,True,morning,False,False,1,0.06
highway,3,0.13,35,night,rainy,True,True,evening,True,False,2,0.28
highway,4,0.45,70,daylight,rainy,False,True,evening,False,True,2,0.49
highway,3,0.52,25,dim,rainy,True,False,evening,True,True,4,0.29
urban,3,0.13,70,night,rainy,False,False,afternoon,False,False,2,0.67
highway,2,0.98,60,night,rainy,True,False,morning,True,True,0,0.82
urban,3,0.26,35,daylight,rainy,False,False,evening,False,True,2,0.24
urban,1,0.46,70,dim,clear,False,True,evening,True,False,1,0.3
urban,4,0.22,25,night,foggy,False,True,morning,True,False,0,0.36
rural,2,0.49,25,night,foggy,False,False,afternoon,True,False,2,0.37
highway,4,0.76,70,night,rainy,False,False,morning,False,True,0,0.76
highway,1,0.52,70,dim,clear,False,False,evening,True,False,1,0.39
urban,1,0.29,60,dim,rainy,True,True,evening,True,True,0,0.39
urban,3,0.25,35,daylight,rainy,True,False,morning,True,False,2,0.19
highway,3,0.76,45,daylight,rainy,True,True,afternoon,False,True,1,0.3
urban,3,0.12,60,daylight,rainy,False,True,morning,False,False,2,0.28
highway,4,0.37,60,dim,foggy,False,True,morning,True,True,1,0.49
rural,1,0.15,60,night,foggy,False,False,morning,False,True,3,0.65
urban,2,0.26,25,dim,clear,True,False,afternoon,True,True,0,0.07
highway,3,0.15,70,dim,clear,False,False,morning,True,True,1,0.26
urban,4,0.89,35,dim,rainy,True,False,morning,False,True,1,0.33
highway,3,0.73,25,daylight,foggy,True,True,morning,True,False,0,0.42
highway,1,0.56,60,night,rainy,True,True,evening,True,True,1,0.73
urban,2,0.22,35,dim,foggy,False,False,afternoon,True,False,3,0.23
rural,1,0.51,25,daylight,foggy,True,True,evening,False,True,0,0.27
highway,4,0.52,45,dim,clear,True,True,evening,False,False,2,0.1
highway,3,0.59,60,night,clear,False,False,morning,True,True,0,0.57
highway,1,0.06,25,daylight,foggy,True,False,evening,True,True,2,0.02
rural,4,0.97,25,dim,clear,True,True,morning,False,False,1,0.38
rural,3,0.47,60,daylight,rainy,True,False,morning,False,True,1,0.49
urban,2,0.93,45,night,foggy,False,True,morning,False,True,1,0.55
rural,1,0.01,70,night,foggy,False,False,evening,False,True,3,0.59
urban,3,0.25,45,daylight,foggy,False,True,afternoon,True,False,4,0.28
urban,3,0.1,60,dim,rainy,False,False,morning,False,True,2,0.39
rural,3,0.77,70,night,foggy,True,True,afternoon,True,False,3,0.84
urban,3,0.32,25,night,clear,False,False,afternoon,True,True,1,0.26
rural,1,0.84,45,dim,rainy,False,False,evening,True,True,1,0.36
urban,3,0.83,45,daylight,foggy,True,False,morning,False,True,3,0.52
rural,4,0.67,70,daylight,rainy,True,True,evening,False,True,1,0.53
rural,1,0.67,25,dim,rainy,False,False,afternoon,False,True,0,0.32
urban,3,0.7,45,night,clear,True,False,afternoon,False,True,0,0.49
highway,1,0.67,70,night,clear,True,True,afternoon,False,False,1,0.58
urban,4,0.39,45,dim,clear,False,False,morning,True,False,2,0.13
rural,4,0.68,25,dim,foggy,False,True,morning,False,False,1,0.26
highway,1,0.9,25,daylight,foggy,True,True,evening,True,True,4,0.43
urban,3,0.33,35,daylight,clear,True,True,afternoon,True,False,1,0.16
urban,3,0.94,70,dim,clear,False,True,morning,False,True,1,0.41
urban,4,0.01,60,night,foggy,False,True,afternoon,False,False,2,0.35
highway,3,0.35,45,daylight,clear,False,True,morning,True,False,2,0.17
rural,4,0.13,25,dim,rainy,True,False,evening,False,False,1,0.04
urban,3,0.13,45,night,rainy,True,True,afternoon,True,True,2,0.4
urban,4,0.82,45,daylight,rainy,True,False,morning,True,True,0,0.36
urban,2,0.92,60,dim,foggy,False,True,evening,False,True,1,0.55
urban,3,0.78,25,dim,clear,False,False,evening,True,True,2,0.24
urban,3,0.98,35,night,rainy,False,True,morning,True,False,3,0.66
rural,3,0.22,70,night,foggy,False,True,evening,False,False,1,0.51
rural,1,0.14,45,dim,clear,False,False,morning,True,True,2,0.08
urban,3,0.52,60,night,clear,True,False,afternoon,False,False,2,0.53
highway,1,0.83,60,dim,rainy,True,True,evening,False,True,0,0.65
rural,1,0.04,70,night,clear,True,True,afternoon,True,True,1,0.41
highway,4,1.0,70,night,clear,True,False,morning,True,False,1,0.71
rural,1,0.6,25,daylight,rainy,True,False,afternoon,False,True,2,0.24
urban,1,0.98,45,daylight,rainy,True,True,evening,True,False,0,0.41
rural,2,0.37,45,night,clear,False,True,evening,False,True,2,0.32
urban,3,0.46,70,dim,foggy,False,False,evening,True,True,3,0.51
rural,1,0.75,35,night,foggy,False,True,evening,True,True,0,0.54
urban,3,0.79,45,daylight,rainy,False,True,morning,False,True,3,0.43
urban,1,0.23,60,dim,clear,True,False,afternoon,True,True,2,0.26
urban,4,0.93,70,night,rainy,True,False,morning,False,True,2,0.84
urban,2,0.87,45,night,foggy,True,True,evening,False,False,2,0.5
highway,1,0.02,25,night,foggy,False,True,afternoon,False,False,3,0.46
urban,3,0.13,70,night,clear,False,False,evening,True,True,2,0.37
highway,4,0.5,60,daylight,rainy,False,False,afternoon,False,False,2,0.44
highway,3,0.46,25,daylight,rainy,True,False,afternoon,True,True,3,0.36
urban,4,0.71,70,daylight,foggy,True,False,evening,True,True,1,0.5
highway,2,0.09,70,daylight,rainy,False,False,morning,True,True,2,0.37
rural,4,0.64,45,dim,rainy,False,True,evening,False,False,0,0.32
urban,3,0.62,25,dim,rainy,False,False,afternoon,False,False,2,0.24
